Estadística del Padrón Continuo
30.- Murcia, Región de
Población por sexo, municipios y país de nacimiento
Unidades:   Personas

,Total,España,Extranjero,Europa (sin España),UE28 sin España,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Europa menos UE28,Rusia,Ucrania,África,Argelia,Marruecos,Nigeria,Senegal,América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Asia,China,Pakistán,Oceanía ,
    Total,
        30 Murcia,
            1 de enero de 2020,1.511.251,1.257.568,253.683,63.277,51.635,3.308,4.836,10.043,1.548,909,1.240,14.879,10.049,11.642,1.572,7.169,92.626,2.790,79.259,1.038,2.851,90.034,3.884,11.516,2.487,11.414,2.315,743,38.139,3.109,1.594,1.622,717,3.746,7.640,3.487,914,106,
            1 de enero de 2019,1.493.898,1.255.113,238.785,62.430,50.978,3.293,4.985,10.014,1.459,922,1.264,13.992,10.459,11.452,1.530,7.197,86.152,2.559,74.114,1.011,2.477,82.811,3.642,11.307,2.306,9.366,2.082,721,37.681,2.764,1.377,1.602,675,2.742,7.298,3.490,801,94,
            1 de enero de 2018,1.478.509,1.251.888,226.621,61.663,50.694,3.327,5.287,9.895,1.356,920,1.275,13.374,10.825,10.969,1.432,6.943,80.191,2.398,69.426,999,2.067,77.771,3.571,11.125,2.072,8.137,1.877,674,37.639,2.474,1.236,1.523,635,2.046,6.914,3.443,705,82,
            1 de enero de 2017,1.470.273,1.249.610,220.663,61.455,50.668,3.349,5.331,9.872,1.267,929,1.358,13.099,11.229,10.787,1.417,6.782,76.869,2.369,66.606,1.000,1.936,75.831,3.528,11.007,1.997,7.583,1.853,655,38.314,2.227,1.151,1.467,629,1.650,6.429,3.458,630,79,
            1 de enero de 2016,1.464.847,1.245.494,219.353,62.642,51.928,3.516,5.421,9.910,1.188,1.056,1.530,13.594,11.358,10.714,1.439,6.670,74.437,2.392,64.421,1.038,1.812,76.164,3.497,11.093,1.955,7.353,1.820,670,39.643,2.050,1.142,1.489,626,1.421,6.034,3.461,568,76,
            1 de enero de 2015,1.467.288,1.241.846,225.442,67.315,56.805,3.825,5.889,10.148,1.207,1.343,1.823,15.795,11.871,10.510,1.477,6.347,73.427,2.412,63.599,1.082,1.712,78.748,3.633,11.388,2.001,7.566,1.817,704,41.742,2.082,1.167,1.549,651,1.301,5.873,3.467,547,79,
            1 de enero de 2014,1.466.818,1.236.319,230.499,70.773,60.359,4.055,6.359,10.329,1.234,1.652,2.148,17.215,12.116,10.414,1.476,6.241,72.944,2.509,62.836,1.221,1.732,80.949,3.718,11.907,2.130,7.675,1.762,733,43.332,2.121,1.180,1.493,653,1.255,5.759,3.444,537,74,
            1 de enero de 2013,1.472.049,1.230.063,241.986,79.978,69.170,4.975,6.863,10.646,1.297,1.967,2.445,22.223,12.695,10.808,1.507,6.358,73.185,2.643,62.703,1.267,1.860,83.122,3.845,12.656,2.285,7.711,1.679,763,44.599,2.184,1.208,1.333,674,1.270,5.623,3.421,441,78,
        30001 Abanilla,
            1 de enero de 2020,6.097,5.171,926,631,607,19,0,155,3,2,5,265,45,24,5,9,200,7,187,0,0,87,2,21,7,6,2,0,17,6,4,0,0,2,8,3,2,0,
            1 de enero de 2019,6.127,5.242,885,608,581,19,0,152,2,2,8,252,51,27,5,11,191,12,173,0,0,80,1,26,8,4,2,0,17,6,4,1,0,2,6,3,2,0,
            1 de enero de 2018,6.063,5.259,804,566,538,19,0,155,2,1,4,226,54,28,6,11,143,0,138,0,0,86,1,28,10,8,3,0,17,7,3,1,0,2,9,3,4,0,
            1 de enero de 2017,6.158,5.314,844,596,563,17,1,156,2,3,4,239,57,33,8,13,157,0,151,0,0,83,1,27,8,5,3,0,16,8,3,3,0,2,8,2,2,0,
            1 de enero de 2016,6.184,5.339,845,615,584,19,1,154,2,2,4,262,61,31,7,12,153,0,146,0,0,70,0,20,2,4,3,0,18,7,3,3,0,2,7,3,0,0,
            1 de enero de 2015,6.347,5.416,931,705,678,20,2,161,2,2,1,341,65,27,7,12,150,0,145,0,0,71,0,22,4,3,3,0,18,7,3,2,0,2,5,1,0,0,
            1 de enero de 2014,6.435,5.458,977,730,700,21,4,164,2,3,1,359,70,30,11,12,160,0,157,0,0,82,1,27,5,3,4,1,19,7,3,1,0,2,5,1,0,0,
            1 de enero de 2013,6.560,5.486,1.074,812,788,25,5,162,2,3,1,449,68,24,10,9,168,2,164,0,0,88,0,31,5,5,4,1,20,8,3,1,1,1,6,1,0,0,
        30002 Abarán,
            1 de enero de 2020,13.022,11.355,1.667,173,158,16,2,86,3,1,1,3,38,15,7,2,851,40,807,0,0,623,12,66,5,14,3,1,337,2,7,6,3,2,20,15,2,0,
            1 de enero de 2019,12.964,11.396,1.568,170,156,12,2,87,5,0,1,6,35,14,6,2,788,37,748,0,0,591,8,66,4,10,3,1,342,2,5,4,3,8,19,16,1,0,
            1 de enero de 2018,13.030,11.512,1.518,178,163,11,1,88,5,0,0,6,42,15,6,3,736,35,698,0,0,583,8,71,6,10,3,0,347,2,5,6,3,3,21,18,1,0,
            1 de enero de 2017,13.089,11.622,1.467,178,161,12,2,89,3,1,0,6,38,17,7,3,705,30,670,0,1,566,8,68,6,10,2,0,361,2,5,3,3,4,18,15,1,0,
            1 de enero de 2016,13.183,11.714,1.469,185,166,10,1,89,3,0,0,6,49,19,7,3,692,31,657,0,1,578,10,73,6,9,3,1,384,3,4,3,3,0,14,10,2,0,
            1 de enero de 2015,13.179,11.717,1.462,186,168,8,2,94,3,0,0,6,46,18,7,2,679,30,646,1,0,580,10,75,6,9,3,2,388,1,4,3,9,0,17,13,2,0,
            1 de enero de 2014,13.086,11.699,1.387,186,171,11,1,95,1,0,0,5,50,15,7,2,623,30,589,1,0,561,7,74,5,10,2,1,387,2,4,4,9,0,17,14,2,0,
            1 de enero de 2013,13.157,11.702,1.455,218,201,11,1,99,1,0,0,13,66,17,9,2,656,26,624,2,0,560,7,75,5,11,2,0,390,5,4,1,8,0,21,18,1,0,
        30003 Águilas,
            1 de enero de 2020,35.722,30.406,5.316,1.906,1.644,304,88,376,63,40,21,258,255,262,63,33,1.473,105,1.265,1,48,1.788,182,486,65,189,54,41,471,48,26,32,23,63,143,68,23,6,
            1 de enero de 2019,35.301,30.192,5.109,1.959,1.693,323,95,374,67,41,21,257,285,266,71,33,1.338,106,1.138,0,43,1.685,176,491,64,114,48,43,475,36,23,32,19,55,121,63,16,6,
            1 de enero de 2018,35.031,30.117,4.914,1.931,1.670,326,96,355,65,42,18,247,293,261,73,26,1.219,106,1.039,0,34,1.642,182,501,65,107,41,41,475,33,24,32,12,45,118,70,12,4,
            1 de enero de 2017,34.758,29.979,4.779,1.865,1.610,329,95,331,64,48,15,231,300,255,67,29,1.174,109,997,0,30,1.621,177,513,63,103,40,40,492,30,20,33,11,38,115,72,14,4,
            1 de enero de 2016,34.706,29.833,4.873,1.989,1.727,366,94,326,62,56,26,246,329,262,67,32,1.133,108,957,0,33,1.626,174,535,61,96,38,39,504,24,16,33,10,36,120,80,8,5,
            1 de enero de 2015,34.772,29.773,4.999,2.089,1.825,394,94,327,63,68,31,258,352,264,69,28,1.134,121,947,0,31,1.657,183,541,58,104,39,40,512,26,18,30,12,43,113,77,9,6,
            1 de enero de 2014,34.632,29.539,5.093,2.194,1.936,403,75,353,61,102,35,287,358,258,62,23,1.090,122,902,0,31,1.698,179,567,58,101,34,45,536,22,16,30,17,45,109,73,8,2,
            1 de enero de 2013,34.930,29.492,5.438,2.435,2.157,435,72,382,71,124,42,324,399,278,70,21,1.099,126,909,0,30,1.788,186,646,70,97,32,52,531,18,16,31,20,41,114,76,8,2,
        30004 Albudeite,
            1 de enero de 2020,1.375,1.336,39,15,15,2,0,11,0,0,0,0,1,0,0,0,9,0,9,0,0,14,0,0,1,1,2,2,1,0,3,1,0,0,1,0,1,0,
            1 de enero de 2019,1.373,1.337,36,16,15,2,0,11,0,0,0,0,2,1,0,1,8,0,8,0,0,11,0,0,1,1,3,2,1,0,2,1,0,0,1,0,1,0,
            1 de enero de 2018,1.361,1.323,38,17,16,2,0,12,0,0,0,0,2,1,0,1,7,0,7,0,0,13,0,0,1,1,3,2,3,0,2,1,0,0,1,0,1,0,
            1 de enero de 2017,1.359,1.326,33,15,14,2,0,10,0,0,0,0,1,1,0,0,6,0,6,0,0,11,0,0,0,1,1,2,4,0,2,1,0,0,1,0,1,0,
            1 de enero de 2016,1.378,1.339,39,17,16,3,0,10,0,0,0,0,2,1,0,0,7,0,7,0,0,15,0,0,0,1,2,4,4,0,2,1,0,0,0,0,0,0,
            1 de enero de 2015,1.374,1.334,40,18,17,3,0,11,0,0,0,0,2,1,0,0,7,0,7,0,0,15,0,0,0,1,2,3,4,1,2,1,0,0,0,0,0,0,
